feature,mean_abs_shap
feature_137,1.3871245329551545e-05
feature_588,1.3837960057602432e-05
feature_541,1.380347133360558e-05
feature_145,1.3790815998505992e-05
feature_589,1.3693669005697012e-05
feature_43,1.3693587206606083e-05
feature_171,1.3684943325588883e-05
feature_107,1.3639808749697436e-05
feature_430,1.3614184913688879e-05
feature_344,1.3574775528843122e-05
feature_12,1.3448457069869883e-05
feature_471,1.3433065244952905e-05
feature_199,1.3383381398226592e-05
feature_556,1.3349230350523746e-05
feature_413,1.3224461558352496e-05
feature_431,1.320127386140292e-05
feature_54,1.3151879144958152e-05
feature_388,1.3142726083332675e-05
feature_560,1.3081274509092218e-05
feature_161,1.2996187603282238e-05
feature_285,1.2897562073617945e-05
feature_496,1.2776072840096357e-05
feature_58,1.2754451359282988e-05
feature_459,1.266499146210292e-05
feature_272,1.2630349336841602e-05
feature_184,1.2564778329245205e-05
feature_440,1.2545855587302733e-05
feature_279,1.2447350341895652e-05
feature_417,1.2442391715201122e-05
feature_355,1.2428413507767383e-05
feature_479,1.2318740111163607e-05
feature_469,1.2309049512697504e-05
feature_18,1.2286327647176303e-05
feature_427,1.2284539466723515e-05
feature_19,1.2252768190241214e-05
feature_197,1.2224141427974323e-05
feature_558,1.2210636136727043e-05
feature_117,1.2198083086767315e-05
feature_81,1.2191379554254732e-05
feature_337,1.2127970919123584e-05
feature_207,1.2076254310252415e-05
feature_362,1.1938845003348587e-05
feature_281,1.1919362984725697e-05
feature_289,1.1881389535579652e-05
feature_562,1.1863097382935893e-05
feature_339,1.180748363235964e-05
feature_6,1.1699341994390461e-05
feature_408,1.157468144586627e-05
feature_126,1.1556608089095426e-05
feature_303,1.153250202323111e-05
feature_118,1.1384616641500636e-05
feature_44,1.1351316067393722e-05
feature_255,1.1295214925491996e-05
feature_524,1.1292831076919666e-05
feature_470,1.1290611439455992e-05
feature_75,1.117263767769841e-05
feature_80,1.1160699789277547e-05
feature_568,1.1098185812805944e-05
feature_187,1.105701404340917e-05
feature_183,1.101344390981338e-05
feature_33,1.094409091995944e-05
feature_90,1.0940107914455983e-05
feature_172,1.0916832996666235e-05
feature_454,1.0869625163691133e-05
feature_457,1.081781870803809e-05
feature_227,1.0809354132701758e-05
feature_167,1.0690351697863931e-05
feature_443,1.0541292987772864e-05
feature_572,1.0466587794859355e-05
feature_520,1.045913212594321e-05
feature_318,1.0457890462799459e-05
feature_586,1.0407894357610267e-05
feature_188,1.0321524294371405e-05
feature_340,1.026891807233389e-05
feature_66,1.024554667723856e-05
feature_294,1.0126116742873744e-05
feature_525,1.0023742781051737e-05
feature_9,9.991973989573183e-06
feature_238,9.991863791302654e-06
feature_312,9.984479779156064e-06
feature_140,9.956677639753978e-06
feature_360,9.905604117628002e-06
feature_439,9.893281574319575e-06
feature_96,9.826128013528999e-06
feature_181,9.777597617136412e-06
feature_223,9.745860856772777e-06
feature_160,9.567519165980983e-06
feature_409,9.499726081920201e-06
feature_356,9.467241629813325e-06
feature_472,9.444406876197998e-06
feature_228,9.430673036388677e-06
feature_174,9.423596634098718e-06
feature_120,9.280669192856823e-06
feature_436,9.259713477283426e-06
feature_116,9.259395041760462e-06
feature_162,9.232705293939776e-06
feature_435,9.208589613274236e-06
feature_338,9.151569968365776e-06
feature_349,9.151569722410884e-06
feature_32,9.1265442628007e-06
feature_87,9.052783295503877e-06
feature_527,8.970979854378553e-06
feature_50,8.9621222755334e-06
feature_273,8.933092287567398e-06
feature_173,8.919307384643733e-06
feature_106,8.899605839897505e-06
feature_412,8.706259916494361e-06
feature_131,8.57615984325609e-06
feature_407,8.530829121313621e-06
feature_387,8.502191402177496e-06
feature_20,8.38066767567284e-06
feature_366,8.355890095994872e-06
feature_480,8.3190920916069e-06
feature_490,8.24782142740232e-06
feature_419,8.240882527334692e-06
feature_297,8.230601253525484e-06
feature_185,8.18977106189519e-06
feature_252,8.175748088907133e-06
feature_146,8.146356101776897e-06
feature_415,8.069851681854104e-06
feature_56,8.056645618992555e-06
feature_570,7.998092291686833e-06
feature_305,7.988574578367387e-06
feature_343,7.957808917608075e-06
feature_448,7.93735606618434e-06
feature_53,7.930628159044215e-06
feature_334,7.90689219971937e-06
feature_201,7.808289477123115e-06
feature_269,7.748350045585245e-06
feature_489,7.708518431674378e-06
feature_277,7.677256616411449e-06
feature_424,7.611494881532697e-06
feature_433,7.484748740276396e-06
feature_447,7.461553332182883e-06
feature_91,7.3988880422373234e-06
feature_446,7.39176199949388e-06
feature_453,7.336508865977829e-06
feature_354,7.2755095470968015e-06
feature_286,7.263126850161581e-06
feature_306,7.247289378957604e-06
feature_311,7.215804678194118e-06
feature_39,7.21307052223374e-06
feature_351,7.211194191640308e-06
feature_564,7.152034411664222e-06
feature_217,7.0785491242209096e-06
feature_511,7.052092274996058e-06
feature_365,7.037039311505445e-06
feature_10,7.029909134384995e-06
feature_416,6.949524574176475e-06
feature_251,6.909973058347874e-06
feature_368,6.8480663136743126e-06
feature_23,6.843404404481196e-06
feature_547,6.829410500249462e-06
feature_15,6.808238288012869e-06
feature_113,6.74108852458487e-06
feature_296,6.7217765234255504e-06
feature_473,6.592366482306549e-06
feature_169,6.476955904202933e-06
feature_34,6.429109786315199e-06
feature_566,6.377442496682647e-06
feature_310,6.331172401711217e-06
feature_280,6.296708421190191e-06
feature_76,6.287336612883376e-06
feature_386,6.232965413355688e-06
feature_548,6.230313150607804e-06
feature_307,6.18273514716743e-06
feature_253,6.17031434556181e-06
feature_248,6.119722567010566e-06
feature_3,6.061955408477045e-06
feature_151,6.060472909218998e-06
feature_485,6.008382127477277e-06
feature_219,5.903846944626311e-06
feature_391,5.810080494213605e-06
feature_552,5.803178936819107e-06
feature_320,5.796126144720289e-06
feature_367,5.638935195717734e-06
feature_28,5.551734664475033e-06
feature_144,5.483960969936026e-06
feature_486,5.461687724399572e-06
feature_483,5.450423519632922e-06
feature_392,5.446934460414337e-06
feature_22,5.426686842107516e-06
feature_428,5.411919964595663e-06
feature_432,5.359018313001664e-06
feature_549,5.3460538645749345e-06
feature_218,5.228789665905585e-06
feature_29,5.219906267166452e-06
feature_101,4.8716400633009e-06
feature_545,4.8716197983492005e-06
feature_114,4.828655226973535e-06
feature_563,4.791390984731201e-06
feature_92,4.726253061791225e-06
feature_544,4.651014946502769e-06
feature_357,4.547640650848356e-06
feature_142,4.525276819978204e-06
feature_555,4.518333067672103e-06
feature_143,4.508263782248208e-06
feature_393,4.451876516172015e-06
feature_98,4.335282827460593e-06
feature_309,4.290822379656838e-06
feature_176,4.278288395195968e-06
feature_476,4.248553514065835e-06
feature_46,4.216382917453077e-06
feature_249,4.137578368033309e-06
feature_278,4.063856129214425e-06
feature_452,4.022083868558779e-06
feature_175,4.002547596824464e-06
feature_488,3.9890309438243735e-06
feature_390,3.953854934201536e-06
feature_526,3.947583730442658e-06
feature_86,3.919150745950642e-06
feature_546,3.7410969670936176e-06
feature_136,3.733599709799531e-06
feature_389,3.538808026933373e-06
feature_180,3.3468123174360627e-06
feature_94,3.2711373907235303e-06
feature_321,3.218304006171013e-06
feature_438,3.127197429753045e-06
feature_95,2.9630546571943168e-06
feature_134,2.9499071959784483e-06
feature_1,2.692390607132956e-06
feature_182,2.6804369552579144e-06
feature_467,2.497625061697076e-06
feature_36,2.2906558278988077e-06
feature_445,2.13924042827858e-06
feature_543,1.9514742018532305e-06
feature_105,1.9139225149135697e-06
feature_484,1.733037247780925e-06
feature_521,1.6485517173771125e-06
