feature,mean_abs_shap
feature_99,0.01540572232099837
feature_29,0.015401625658758729
feature_363,0.015382304058786463
feature_23,0.015322081594496282
feature_340,0.0152955971319789
feature_248,0.015236159379005576
feature_551,0.015161962667145541
feature_331,0.015026752011121138
feature_489,0.014964827439414002
feature_419,0.0147758275935545
feature_304,0.014750796581209188
feature_361,0.014625468018094006
feature_136,0.014575388793568393
feature_118,0.01434402757443274
feature_96,0.014304306359305552
feature_407,0.014270163039594832
feature_443,0.014269590610819496
feature_484,0.014249980202507652
feature_24,0.014141677342526533
feature_43,0.014106068829754301
feature_159,0.014018560671798025
feature_553,0.01393109969053178
feature_435,0.013900170440184965
feature_162,0.013847731387017557
feature_254,0.013844232554244955
feature_589,0.013751107982110978
feature_324,0.013651575005144237
feature_4,0.013478441825809857
feature_18,0.013408051690421287
feature_40,0.013394992387237372
feature_60,0.013346691662283715
feature_116,0.013299546910146736
feature_138,0.013295771790476172
feature_547,0.013258296254211384
feature_306,0.013211034072424245
feature_219,0.013206758138026966
feature_80,0.013200626618983696
feature_173,0.01312079910000158
feature_496,0.01309630684613422
feature_183,0.013004302549072998
feature_166,0.012978841737793918
feature_357,0.012952693561329004
feature_472,0.012947557600708322
feature_452,0.012862265051073242
feature_208,0.012697418225935371
feature_495,0.012668949618716984
feature_156,0.01266746968530448
feature_552,0.012654422318281386
feature_275,0.012620202264985794
feature_499,0.012565477331952268
feature_112,0.01247893514970368
feature_520,0.012427657988791469
feature_255,0.012419345203506207
feature_559,0.012324468246801714
feature_165,0.012264549285622473
feature_108,0.012166503688493065
feature_181,0.01215683083979644
feature_446,0.012093328687383506
feature_199,0.012014272678799471
feature_278,0.012006174670479255
feature_332,0.011871135473106604
feature_562,0.011857262203258095
feature_171,0.011793453586225813
feature_522,0.011735499992669313
feature_12,0.011716120725353458
feature_204,0.011476705470140791
feature_7,0.011437964195518527
feature_454,0.01142264092285037
feature_548,0.011389396261979504
feature_554,0.011358575217093336
feature_164,0.011311464051848305
feature_497,0.011289720150057792
feature_473,0.011214509244175821
feature_483,0.011182835336312487
feature_471,0.011080781132560362
feature_123,0.011043964073392656
feature_356,0.010941508210163892
feature_393,0.010853034846337851
feature_267,0.010797418185693033
feature_410,0.010709444607658438
feature_569,0.010579470139588258
feature_6,0.010547589842226378
feature_366,0.010523781373325033
feature_61,0.010515271420175337
feature_50,0.010487700474836601
feature_321,0.010378876470714941
feature_386,0.010334918225263274
feature_124,0.010262442853693567
feature_207,0.010262211372346803
feature_87,0.010146944762136977
feature_187,0.01012578147729609
feature_142,0.010121266848096855
feature_211,0.010105493751642991
feature_202,0.010024642567504283
feature_546,0.0100002580562826
feature_296,0.009972726148985638
feature_104,0.009970870685932432
feature_415,0.009919971243093816
feature_568,0.00989364861978209
feature_252,0.009804599212839377
feature_285,0.009695630032397737
feature_525,0.009555249537719454
feature_288,0.00955354450760842
feature_388,0.009502031798307508
feature_274,0.009270944216270382
feature_367,0.009256990552521575
feature_565,0.009231171066467316
feature_360,0.00909516829911406
feature_238,0.009068972735958783
feature_455,0.008975618841403438
feature_185,0.008879651559291005
feature_78,0.008876503095447215
feature_176,0.008821944003574294
feature_223,0.008818802516769829
feature_459,0.008716533857262329
feature_297,0.008648125453926266
feature_440,0.008555732584413092
feature_343,0.008551911771769049
feature_334,0.008484004788568759
feature_576,0.008344408904115377
feature_527,0.008310092170404536
feature_572,0.008270570836305186
feature_135,0.008149054909712464
feature_154,0.008085489808651173
feature_53,0.007870935642259463
feature_564,0.007752139452532836
feature_93,0.0077510031778098435
feature_11,0.007673138346953413
feature_335,0.00766592746735372
feature_494,0.007657819356906947
feature_338,0.007580215578722017
feature_272,0.007557711296581376
feature_429,0.007525961950925852
